,O1,O2,O3,O4,O5,O6
rmse_train_median,0.2721893283765561,0.05924710535555936,0.01543192999539985,0.015665588034609965,0.013936895671871242,7.335099320514526e-07
rmse_train_mean,0.2722785046919546,0.060979804193875185,0.01609326719380567,0.015873668151756365,0.016144206948939883,7.360920085102648e-07
rmse_train_std,0.00025557976960405494,0.011411755088427428,0.004760859342892425,0.003787151188135842,0.0036116818127800605,1.2483055646691033e-08
mape_train_median,1.3410079784072368,0.762709494920155,0.2366178178948071,0.25103673128924864,0.25142213565227844,1.596646677812164e-05
mape_train_mean,1.3402962014784792,0.8063571250335391,0.27018751120334217,0.32165711754887294,0.42659816646208704,1.5473654066677266e-05
mape_train_std,0.07871137229797867,0.17346340379069508,0.11626746747814758,0.16295700039816977,0.23386458231768686,2.1823086918325166e-06
rmse_test_median,0.26128114911316197,0.048417505919366936,0.020672676500822745,0.019922281865173558,0.022580278442384673,0.012453231433999066
rmse_test_mean,0.26132751882104627,0.054162558751650866,0.021482617005007806,0.018807896299772836,0.02225007821028759,0.012495675722925472
rmse_test_std,0.000440856737262946,0.010592303418338948,0.0035508445483210553,0.004798805932829556,0.0025129862418947746,0.000780141473106935
mape_test_median,1.3189421803059371,0.979868245919389,0.2966920490442139,0.3548490965010279,0.4267476395613592,0.27803084161792896
mape_test_mean,1.3711962277879062,0.8856002648673051,0.3789725886890282,0.465745931466766,0.4207498369716907,0.2963188214734839
mape_test_std,0.1549397596047936,0.2520044111176719,0.1929964410252976,0.20212772385316996,0.16148503438156805,0.09705526781155742
