,O1,O2,O3,O4,O5,O6
rmse_train_median,0.018708065826405135,0.02332690523967867,0.018328708976326612,0.017881412241641057,0.03747213459601666,0.02866178007049821
rmse_train_mean,0.017792229215562894,0.02269240867801127,0.020370434033552258,0.02108838211770389,0.036112180946772085,0.036551786930307105
rmse_train_std,0.003942774538437987,0.007458919258013802,0.009288135366594502,0.010032527895874409,0.013750278400383861,0.013025251902758259
mape_train_median,0.34548164984342256,0.48665578900380296,0.2599585757774454,0.23485783799197069,0.4145713333023304,0.5359613685999222
mape_train_mean,0.4168971721826879,0.5658669146316383,0.39802814710809814,0.25503487708558803,0.5240076511210564,0.4526722952606367
mape_train_std,0.11264448409648986,0.22041776512389472,0.2932757238202372,0.09287598371476448,0.30141032466172857,0.1270393253985614
rmse_test_median,0.03354535181520124,0.05078116319158359,0.031830252801525766,0.04572290621615972,0.04855727345213696,0.04685366276742789
rmse_test_mean,0.03388011771188386,0.0490994384793826,0.034151916279849995,0.045661336045176394,0.047477527629746163,0.050359656653457874
rmse_test_std,0.0028253201012084805,0.003220576174369215,0.007294211586771495,0.0009680627792544251,0.010634071814246237,0.007123426502626952
mape_test_median,0.40547462237796256,1.6311922737873994,0.5554298131771206,0.6599866167535079,0.7131191603387739,0.7037862742621069
mape_test_mean,0.6325303284219868,1.381236769349058,0.5307609271197082,1.0279176702646216,0.6711104450700957,0.7896705244324517
mape_test_std,0.36074744699438066,0.4757432233060303,0.1525635830581723,0.6294955962405585,0.20257342745964388,0.33990499807753266
time_median,8.58896255493164,10.324366092681885,9.897114038467407,11.69024920463562,11.699301958084106,13.859990119934082
time_mean,8.641517305374146,10.353552865982056,9.905708074569702,11.894684648513794,11.700435018539428,13.750060606002808
time_std,0.14958733186982534,0.23023710744799003,0.2013844054737352,0.5484096218213504,0.1450378401913302,0.25151235231599306
